"trip.Combined"	"tripTime.mu"	"tripTime.md"	"tripTime.s"	"tripTime.n"	"Member.Type.mu"	"Member.Type.md"	"Member.Type.s"	"Member.Type.n"
"1"	"14th & Harvard St NW (31105) - 16th & Harvard St NW (31103)"	505.409252669039	180	1058.84400904265	281	1.93594306049822	2	0.245291190577415	281
"2"	"19th & L St NW (31224) - 7th & Water St SW / SW Waterfront (31609)"	1563.75	1260	705.817988052206	32	1.625	2	0.491869376837965	32
"3"	"Lincoln Park / 13th & East Capitol St NE  (31619) - 13th & H St NE (31611)"	542.77397260274	360	1273.16026497698	584	1.88527397260274	2	0.318964222506349	584
"4"	"14th & R St NW (31202) - Massachusetts Ave & Dupont Circle NW (31200)"	538.745785569791	360	1540.75512691258	1483	1.90492245448415	2	0.29342096219282	1483
"5"	"Park Rd & Holmead Pl NW (31602) - 15th & P St NW (31201)"	752.694610778443	660	614.209186312691	501	1.94610778443114	2	0.226030573948042	501
"6"	"4th St & Massachusetts Ave NW (31604) - Adams Mill & Columbia Rd NW (31104)"	1596.39344262295	1320	1392.17579443939	61	1.80327868852459	2	0.400818834019708	61
"7"	"37th & O St NW / Georgetown University (31236) - 21st & M St NW (31212)"	1212	720	1888.65335804359	220	1.73636363636364	2	0.441609193688477	220
"8"	"14th & Harvard St NW (31105) - 14th & V St NW (31101)"	356.195652173913	240	732.006780866151	1104	1.93478260869565	2	0.247020959293109	1104
"9"	"Lamont & Mt Pleasant NW (31107) - 7th & T St NW (31109)"	832.121212121212	780	285.525911927778	99	1.90909090909091	2	0.288942798198532	99
"10"	"13th St & New York Ave NW (31227) - Georgia Ave and Fairmont St NW (31207)"	1068	1020	158.413482572268	90	2	2	0	90
"11"	"New York Ave & 15th St NW (31222) - 20th & E St NW (31204)"	1041.65853658537	420	1764.1192827061	205	1.71707317073171	2	0.451523802938227	205
"12"	"Calvert St & Woodley Pl NW (31106) - 14th St & Spring Rd NW (31401)"	1417.41935483871	900	4104.44457372258	279	1.9426523297491	2	0.232923531435429	279
"13"	"14th & V St NW (31101) - 14th & Rhode Island Ave NW (31203)"	491.090047393365	300	2046.71071226765	1266	1.91785150078989	2	0.274699341331902	1266
"14"	"17th & K St NW [formerly 17th & L St NW] (31213) - 15th & P St NW (31201)"	645.14131897712	360	2968.84722656204	743	1.92462987886945	2	0.264165453995193	743
"15"	"21st & I St NW (31205) - Massachusetts Ave & Dupont Circle NW (31200)"	725.278396436526	420	1505.43800912972	1796	1.82850779510022	2	0.377043476572809	1796
"16"	"21st & M St NW (31212) - 17th & Corcoran St NW (31214)"	514.048442906574	420	621.316944818402	867	1.92272202998847	2	0.267186124177357	867
"17"	"11th & Kenyon St NW (31102) - 14th St & Spring Rd NW (31401)"	364.225352112676	360	103.219960297298	142	1.92253521126761	2	0.268273800593175	142
"18"	"14th & Rhode Island Ave NW (31203) - Adams Mill & Columbia Rd NW (31104)"	880.280898876405	780	351.080312268131	356	1.83988764044944	2	0.367226358813436	356
"19"	"16th & U St NW (31229) - 16th & Harvard St NW (31103)"	489.514563106796	420	330.534922533913	309	1.91909385113269	2	0.273133252517704	309
"20"	"14th & Harvard St NW (31105) - 17th & Corcoran St NW (31214)"	588.626086956522	540	525.390869277698	575	1.95826086956522	2	0.200166572052345	575
"21"	"18th & M St NW (31221) - 25th St & Pennsylvania Ave NW (31237)"	913.116691285081	360	6924.43203871972	677	1.87001477104874	2	0.336535823840849	677
"22"	"11th & Kenyon St NW (31102) - 10th & Monroe St NE (31504)"	2636	870	9701.82122966682	30	1.93333333333333	2	0.253708131702462	30
"23"	"21st & M St NW (31212) - C & O Canal & Wisconsin Ave NW (31225)"	1041.08322324967	540	3328.66091411546	757	1.64332892998679	2	0.479333216184878	757
"24"	"North Capitol St & F St NW (31624) - 18th & M St NW (31221)"	1193.14285714286	1080	667.902424392788	140	1.80714285714286	2	0.395958514130763	140
"25"	"25th St & Pennsylvania Ave NW (31237) - 14th & Rhode Island Ave NW (31203)"	862.114285714286	720	729.107542994119	350	1.86285714285714	2	0.344490582989314	350
"26"	"4th St & Massachusetts Ave NW (31604) - 11th & Kenyon St NW (31102)"	1148.65979381443	1080	260.814544847721	97	1.94845360824742	2	0.222258015445008	97
"27"	"Convention Center / 7th & M St NW (31223) - C & O Canal & Wisconsin Ave NW (31225)"	1514.14634146341	1080	1245.87116589766	123	1.65040650406504	2	0.478791851098848	123
"28"	"20th St & Florida Ave NW (31110) - 21st & M St NW (31212)"	463.57056694813	360	431.714690297469	829	1.91194209891435	2	0.283550158341676	829
"29"	"Potomac & Pennsylvania Ave SE (31606) - 3rd & H St NE (31616)"	1015.21472392638	840	1048.99913346203	163	1.88957055214724	2	0.314390159611913	163
"30"	"14th & V St NW (31101) - Park Rd & Holmead Pl NW (31602)"	655.533199195171	540	739.357943593265	497	1.90945674044266	2	0.287247621764768	497
"31"	"14th & R St NW (31202) - Calvert St & Woodley Pl NW (31106)"	944.210526315789	840	402.5957878829	76	1.80263157894737	2	0.400657354593016	76
"32"	"North Capitol St & F St NW (31624) - Georgia Ave and Fairmont St NW (31207)"	1156.5	1140	146.961665383994	120	2	2	0	120
"33"	"Park Rd & Holmead Pl NW (31602) - Georgia & New Hampshire Ave NW (31400)"	622.210682492582	300	4422.19516818772	1348	1.9606824925816	2	0.194421404007308	1348
"34"	"New York Ave & 15th St NW (31222) - 3rd & H St NE (31616)"	2067.27272727273	960	8651.77884483664	99	1.86868686868687	2	0.339461297318015	99
"35"	"Columbus Circle / Union Station (31623) - 13th & H St NE (31611)"	669.112202493389	480	2558.21125545603	2647	1.90215338118625	2	0.297163286415672	2647
"36"	"15th & P St NW (31201) - 14th & V St NW (31101)"	439.042735042735	360	342.164276524224	1755	1.93105413105413	2	0.253434279023647	1755
"37"	"Calvert St & Woodley Pl NW (31106) - Adams Mill & Columbia Rd NW (31104)"	358.813520349506	240	1349.0782806782	4349	1.90020694412509	2	0.299758340934907	4349
"38"	"18th & M St NW (31221) - 10th & U St NW (31111)"	800.991253644315	780	257.478000955245	343	1.89212827988338	2	0.310671534276325	343
"39"	"Eastern Market Metro / Pennsylvania Ave & 7th St SE (31613) - Potomac & Pennsylvania Ave SE (31606)"	352.355848434926	240	569.200322705679	1821	1.90170236133992	2	0.297798444523062	1821
"40"	"25th St & Pennsylvania Ave NW (31237) - Adams Mill & Columbia Rd NW (31104)"	1142.88461538462	900	939.464518488531	312	1.81730769230769	2	0.387034809295279	312
"41"	"14th & Harvard St NW (31105) - 10th & U St NW (31111)"	474.501018329939	420	508.184348580137	491	1.92464358452138	2	0.264234792883114	491
"42"	"3rd & D St SE (31605) - Columbus Circle / Union Station (31623)"	728.365384615385	480	1985.4785020184	832	1.83774038461538	2	0.368910569557202	832
"43"	"Adams Mill & Columbia Rd NW (31104) - 14th & V St NW (31101)"	670.794044665012	420	1078.79210795597	806	1.88957816377171	2	0.313609435020324	806
